"start","end","date","dev_id","enumerator","county","sample","Serum_blood_parentID","Serum_blood_aliquot1","Serum_blood_aliquot2","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","rootUuid","deprecatedID","enumerator_other"
2024-04-25 13:12:49.508,2024-04-25 13:15:52.227,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","livestock","DSR000033","DLQ000051","DLQ000052",333284233,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:a1f25765-96be-4636-b804-2a96a2bebb24","aAQ2mD4zPZ9PtTm58gQKrE","a1f25765-96be-4636-b804-2a96a2bebb24","submitted_via_web",2024-04-25 18:31:04,,"dtra_nk",,,
2024-04-25 13:16:07.474,2024-04-25 13:17:16.417,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","livestock","DSR000034","DLQ000053","DLQ000054",333284242,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:445f7d27-fff3-4e76-a736-f5069295d9b8","aAQ2mD4zPZ9PtTm58gQKrE","445f7d27-fff3-4e76-a736-f5069295d9b8","submitted_via_web",2024-04-25 18:31:05,,"dtra_nk",,,
2024-04-25 13:17:22.946,2024-04-25 13:19:13.166,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","livestock","DSR000035","DLQ000055","DLQ000056",333284261,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:b51059f7-2410-4d93-97f9-eb3cbda4b558","aAQ2mD4zPZ9PtTm58gQKrE","b51059f7-2410-4d93-97f9-eb3cbda4b558","submitted_via_web",2024-04-25 18:31:06,,"dtra_nk",,,
2024-04-25 13:19:22.412,2024-04-25 13:21:33.285,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","livestock","DSR000036","DLQ000007","DLQ000008",333284264,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:f8bf8d14-b0ad-478f-a47b-f5edd66a8661","aAQ2mD4zPZ9PtTm58gQKrE","f8bf8d14-b0ad-478f-a47b-f5edd66a8661","submitted_via_web",2024-04-25 18:31:07,,"dtra_nk",,,
2024-04-25 13:21:39.569,2024-04-25 13:22:33.137,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","livestock","DSR000037","DLQ000009","DLQ000010",333284271,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:f0bdf12a-e012-43bf-9d16-5918535fc2e9","aAQ2mD4zPZ9PtTm58gQKrE","f0bdf12a-e012-43bf-9d16-5918535fc2e9","submitted_via_web",2024-04-25 18:31:07,,"dtra_nk",,,
2024-04-25 13:22:38.189,2024-04-25 13:23:59.183,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","livestock","DSR000038","DLQ000011","DLQ000012",333284274,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:ba970c2c-4435-4592-a7d7-dccecbe6f6f3","aAQ2mD4zPZ9PtTm58gQKrE","ba970c2c-4435-4592-a7d7-dccecbe6f6f3","submitted_via_web",2024-04-25 18:31:07,,"dtra_nk",,,
2024-04-25 13:49:33.256,2024-04-25 14:08:10.493,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","human","DSR000001","DLQ000013","DLQ000014",333284277,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:bdbb2a49-6539-496c-a335-26967f0211fd","aAQ2mD4zPZ9PtTm58gQKrE","bdbb2a49-6539-496c-a335-26967f0211fd","submitted_via_web",2024-04-25 18:31:08,,"dtra_nk",,,
2024-04-25 13:51:28.47,2024-04-25 14:07:54.397,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","human","DSR000029","DLQ000015","DLQ000016",333284282,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:6bc2d2b1-69ea-4e54-9aff-72f8cfa8e260","aAQ2mD4zPZ9PtTm58gQKrE","6bc2d2b1-69ea-4e54-9aff-72f8cfa8e260","submitted_via_web",2024-04-25 18:31:08,,"dtra_nk",,,
2024-04-25 13:52:47.815,2024-04-25 14:05:14.736,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","human","DSR000030","DLQ000017","DLQ000018",333284288,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:83104a7e-8844-4200-ad72-a2f5c4339a6c","aAQ2mD4zPZ9PtTm58gQKrE","83104a7e-8844-4200-ad72-a2f5c4339a6c","submitted_via_web",2024-04-25 18:31:09,,"dtra_nk",,,
2024-04-25 13:54:05.018,2024-04-25 14:06:00.058,2024-04-25,"collect:xrIEUbZY74xsroUV","2","samburu","human","DSR000031","DLQ000019","DLQ000020",333284293,"d42163ee19ec454c92f5a162270dfb7f","vNZRk26YdifXnwjh292QMJ","uuid:cf3e8a19-70cc-42c4-b551-2dfe1469ae2e","aAQ2mD4zPZ9PtTm58gQKrE","cf3e8a19-70cc-42c4-b551-2dfe1469ae2e","submitted_via_web",2024-04-25 18:31:09,,"dtra_nk",,,
